Date,Initialprice,Finalprice,Discount
2019-04-07,9.99,9.99,0
2019-04-08,9.99,9.99,0
2019-04-09,9.99,9.99,0
2019-04-10,9.99,9.99,0
2019-04-11,9.99,9.99,0
2019-04-12,9.99,9.99,0
2019-04-13,9.99,9.99,0
2019-04-14,9.99,9.99,0
2019-04-15,9.99,9.99,0
2019-04-16,9.99,9.99,0
2019-04-17,9.99,9.99,0
2019-04-18,9.99,9.99,0
2019-04-19,9.99,9.99,0
2019-04-20,9.99,9.99,0
2019-04-21,9.99,9.99,0
2019-04-22,9.99,9.99,0
2019-04-23,9.99,9.99,0
2019-04-24,9.99,9.99,0
2019-04-25,9.99,9.99,0
2019-04-26,9.99,9.99,0
2019-04-27,9.99,9.99,0
2019-04-28,9.99,9.99,0
2019-04-29,9.99,9.99,0
2019-04-30,9.99,9.99,0
2019-05-01,9.99,9.99,0
2019-05-02,9.99,9.99,0
2019-05-03,9.99,9.99,0
2019-05-04,9.99,9.99,0
2019-05-05,9.99,9.99,0
2019-05-06,9.99,9.99,0
2019-05-07,9.99,9.99,0
2019-05-08,9.99,9.99,0
2019-05-09,9.99,9.99,0
2019-05-10,9.99,9.99,0
2019-05-11,9.99,9.99,0
2019-05-12,9.99,9.99,0
2019-05-13,9.99,9.99,0
2019-05-14,9.99,9.99,0
2019-05-15,9.99,9.99,0
2019-05-16,9.99,9.99,0
2019-05-17,9.99,9.99,0
2019-05-18,9.99,9.99,0
2019-05-19,9.99,9.99,0
2019-05-20,9.99,9.99,0
2019-05-21,9.99,9.99,0
2019-05-22,9.99,9.99,0
2019-05-23,9.99,9.99,0
2019-05-24,9.99,9.99,0
2019-05-25,9.99,9.99,0
2019-05-26,9.99,9.99,0
2019-05-27,9.99,9.99,0
2019-05-28,9.99,9.99,0
2019-05-29,9.99,9.99,0
2019-05-30,9.99,9.99,0
2019-05-31,9.99,9.99,0
2019-06-01,9.99,9.99,0
2019-06-02,9.99,9.99,0
2019-06-03,9.99,9.99,0
2019-06-04,9.99,9.99,0
2019-06-05,9.99,9.99,0
2019-06-06,9.99,9.99,0
2019-06-07,9.99,9.99,0
2019-06-08,9.99,9.99,0
2019-06-09,9.99,9.99,0
2019-06-10,9.99,9.99,0
2019-06-11,9.99,9.99,0
2019-06-12,9.99,9.99,0
2019-06-13,9.99,9.99,0
2019-06-14,9.99,9.99,0
2019-06-15,9.99,9.99,0
2019-06-16,9.99,9.99,0
2019-06-17,9.99,9.99,0
2019-06-18,9.99,9.99,0
2019-06-19,9.99,9.99,0
2019-06-20,9.99,9.99,0
2019-06-21,9.99,9.99,0
2019-06-22,9.99,9.99,0
2019-06-23,9.99,9.99,0
2019-06-24,9.99,9.99,0
2019-06-25,9.99,9.99,0
2019-06-26,9.99,9.99,0
2019-06-27,9.99,9.99,0
2019-06-28,9.99,9.99,0
2019-06-29,9.99,9.99,0
2019-06-30,9.99,9.99,0
