Date,Initialprice,Finalprice,Discount
2019-04-07,49.99,49.99,0
2019-04-08,49.99,49.99,0
2019-04-09,49.99,49.99,0
2019-04-10,49.99,49.99,0
2019-04-11,49.99,49.99,0
2019-04-12,49.99,49.99,0
2019-04-13,49.99,49.99,0
2019-04-14,49.99,49.99,0
2019-04-15,49.99,49.99,0
2019-04-16,49.99,49.99,0
2019-04-17,49.99,49.99,0
2019-04-18,49.99,49.99,0
2019-04-19,49.99,49.99,0
2019-04-20,49.99,49.99,0
2019-04-21,49.99,49.99,0
2019-04-22,49.99,49.99,0
2019-04-23,49.99,49.99,0
2019-04-24,49.99,49.99,0
2019-04-25,49.99,49.99,0
2019-04-26,49.99,49.99,0
2019-04-27,49.99,49.99,0
2019-04-28,49.99,49.99,0
2019-04-29,49.99,49.99,0
2019-04-30,49.99,49.99,0
2019-05-01,49.99,49.99,0
2019-05-02,49.99,49.99,0
2019-05-03,49.99,49.99,0
2019-05-04,49.99,49.99,0
2019-05-05,49.99,49.99,0
2019-05-06,49.99,49.99,0
2019-05-07,49.99,49.99,0
2019-05-08,49.99,49.99,0
2019-05-09,49.99,49.99,0
2019-05-10,49.99,49.99,0
2019-05-11,49.99,49.99,0
2019-05-12,49.99,49.99,0
2019-05-13,49.99,49.99,0
2019-05-14,49.99,49.99,0
2019-05-15,49.99,49.99,0
2019-05-16,49.99,49.99,0
2019-05-17,49.99,49.99,0
2019-05-18,49.99,49.99,0
2019-05-19,49.99,49.99,0
2019-05-20,49.99,49.99,0
2019-05-21,49.99,49.99,0
2019-05-22,49.99,49.99,0
2019-05-23,49.99,49.99,0
2019-05-24,49.99,49.99,0
2019-05-25,49.99,49.99,0
2019-05-26,49.99,49.99,0
2019-05-27,49.99,49.99,0
2019-05-28,49.99,49.99,0
2019-05-29,49.99,49.99,0
2019-05-30,49.99,49.99,0
2019-05-31,49.99,49.99,0
2019-06-01,49.99,49.99,0
2019-06-02,49.99,49.99,0
2019-06-03,49.99,49.99,0
2019-06-04,49.99,49.99,0
2019-06-05,49.99,49.99,0
2019-06-06,49.99,49.99,0
2019-06-07,49.99,49.99,0
2019-06-08,49.99,49.99,0
2019-06-09,49.99,49.99,0
2019-06-10,49.99,49.99,0
2019-06-11,49.99,49.99,0
2019-06-12,49.99,49.99,0
2019-06-13,49.99,49.99,0
2019-06-14,49.99,49.99,0
2019-06-15,49.99,49.99,0
2019-06-16,49.99,49.99,0
2019-06-17,49.99,49.99,0
2019-06-18,49.99,49.99,0
2019-06-19,49.99,49.99,0
2019-06-20,49.99,49.99,0
2019-06-21,49.99,49.99,0
2019-06-22,49.99,49.99,0
2019-06-23,49.99,49.99,0
2019-06-24,49.99,49.99,0
2019-06-25,49.99,49.99,0
2019-06-26,49.99,49.99,0
2019-06-27,49.99,49.99,0
2019-06-28,49.99,49.99,0
2019-06-29,49.99,49.99,0
2019-06-30,49.99,49.99,0
2019-07-01,49.99,49.99,0
2019-07-02,49.99,49.99,0
2019-07-03,49.99,49.99,0
2019-07-04,49.99,49.99,0
2019-07-05,49.99,49.99,0
2019-07-06,49.99,49.99,0
2019-07-07,49.99,49.99,0
2019-07-08,49.99,49.99,0
2019-07-09,49.99,49.99,0
2019-07-10,49.99,49.99,0
2019-07-11,49.99,49.99,0
2019-07-12,49.99,49.99,0
2019-07-13,49.99,49.99,0
2019-07-14,49.99,49.99,0
2019-07-15,49.99,49.99,0
2019-07-16,49.99,49.99,0
2019-07-17,49.99,49.99,0
2019-07-18,49.99,49.99,0
2019-07-19,49.99,49.99,0
2019-07-20,49.99,49.99,0
2019-07-21,49.99,49.99,0
2019-07-22,49.99,49.99,0
2019-07-23,49.99,49.99,0
2019-07-24,49.99,49.99,0
2019-07-25,49.99,49.99,0
2019-07-26,49.99,49.99,0
2019-07-27,49.99,49.99,0
2019-07-28,49.99,49.99,0
2019-07-29,49.99,49.99,0
2019-07-30,49.99,49.99,0
2019-07-31,49.99,49.99,0
2019-08-01,49.99,49.99,0
2019-08-02,49.99,49.99,0
2019-08-03,49.99,49.99,0
2019-08-04,49.99,49.99,0
2019-08-05,49.99,49.99,0
2019-08-06,49.99,49.99,0
2019-08-07,49.99,49.99,0
2019-08-08,49.99,49.99,0
2019-08-09,49.99,49.99,0
2019-08-10,49.99,49.99,0
2019-08-11,49.99,49.99,0
2019-08-12,49.99,49.99,0
2019-08-13,49.99,49.99,0
2019-08-14,49.99,49.99,0
2019-08-15,49.99,49.99,0
2019-08-16,49.99,49.99,0
2019-08-17,49.99,49.99,0
