Date,Initialprice,Finalprice,Discount
2019-04-07,34.99,34.99,0
2019-04-08,34.99,34.99,0
2019-04-09,34.99,34.99,0
2019-04-10,34.99,34.99,0
2019-04-11,34.99,34.99,0
2019-04-12,34.99,34.99,0
2019-04-13,34.99,34.99,0
2019-04-14,34.99,34.99,0
2019-04-15,34.99,34.99,0
2019-04-16,34.99,34.99,0
2019-04-17,34.99,34.99,0
2019-04-18,34.99,34.99,0
2019-04-19,34.99,34.99,0
2019-04-20,34.99,34.99,0
2019-04-21,34.99,34.99,0
2019-04-22,34.99,34.99,0
2019-04-23,34.99,34.99,0
2019-04-24,34.99,10.49,70
2019-04-25,34.99,10.49,70
2019-04-26,34.99,10.49,70
2019-04-27,34.99,10.49,70
2019-04-28,34.99,10.49,70
2019-04-29,34.99,10.49,70
2019-04-30,34.99,10.49,70
2019-05-01,34.99,34.99,0
2019-05-02,34.99,34.99,0
2019-05-03,34.99,34.99,0
2019-05-04,34.99,34.99,0
2019-05-05,34.99,34.99,0
2019-05-06,34.99,34.99,0
2019-05-07,34.99,34.99,0
2019-05-08,34.99,34.99,0
2019-05-09,34.99,34.99,0
2019-05-10,34.99,34.99,0
2019-05-11,34.99,34.99,0
2019-05-12,34.99,34.99,0
2019-05-13,34.99,34.99,0
2019-05-14,34.99,34.99,0
2019-05-15,34.99,34.99,0
2019-05-16,34.99,34.99,0
2019-05-17,34.99,34.99,0
2019-05-18,34.99,34.99,0
2019-05-19,34.99,34.99,0
2019-05-20,34.99,34.99,0
2019-05-21,34.99,34.99,0
2019-05-22,34.99,34.99,0
2019-05-23,34.99,34.99,0
2019-05-24,34.99,34.99,0
2019-05-25,34.99,34.99,0
2019-05-26,34.99,34.99,0
2019-05-27,34.99,34.99,0
2019-05-28,34.99,34.99,0
2019-05-29,34.99,34.99,0
2019-05-30,34.99,34.99,0
2019-05-31,34.99,34.99,0
2019-06-01,34.99,34.99,0
2019-06-02,34.99,34.99,0
2019-06-03,34.99,34.99,0
2019-06-04,34.99,34.99,0
2019-06-05,34.99,34.99,0
2019-06-06,34.99,34.99,0
2019-06-07,34.99,34.99,0
2019-06-08,34.99,34.99,0
2019-06-09,34.99,34.99,0
2019-06-10,34.99,34.99,0
2019-06-11,34.99,34.99,0
2019-06-12,34.99,34.99,0
2019-06-13,34.99,34.99,0
2019-06-14,34.99,34.99,0
2019-06-15,34.99,34.99,0
2019-06-16,34.99,34.99,0
2019-06-17,34.99,34.99,0
2019-06-18,34.99,34.99,0
2019-06-19,34.99,34.99,0
2019-06-20,34.99,34.99,0
2019-06-21,34.99,34.99,0
2019-06-22,34.99,34.99,0
2019-06-23,34.99,34.99,0
2019-06-24,34.99,34.99,0
2019-06-25,34.99,8.74,75
2019-06-26,34.99,8.74,75
2019-06-27,34.99,8.74,75
2019-06-28,34.99,8.74,75
2019-06-29,34.99,8.74,75
2019-06-30,34.99,8.74,75
2019-07-01,34.99,8.74,75
2019-07-02,34.99,8.74,75
2019-07-03,34.99,8.74,75
2019-07-04,34.99,8.74,75
2019-07-05,34.99,8.74,75
2019-07-06,34.99,8.74,75
2019-07-07,34.99,8.74,75
2019-07-08,34.99,8.74,75
2019-07-09,34.99,34.99,0
2019-07-10,34.99,34.99,0
2019-07-11,34.99,34.99,0
2019-07-12,34.99,34.99,0
2019-07-13,34.99,34.99,0
2019-07-14,34.99,34.99,0
2019-07-15,34.99,34.99,0
2019-07-16,34.99,34.99,0
2019-07-17,34.99,34.99,0
2019-07-18,34.99,34.99,0
2019-07-19,34.99,34.99,0
2019-07-20,34.99,34.99,0
2019-07-21,34.99,34.99,0
2019-07-22,34.99,34.99,0
2019-07-23,34.99,34.99,0
2019-07-24,34.99,34.99,0
2019-07-25,34.99,34.99,0
2019-07-26,34.99,34.99,0
2019-07-27,34.99,34.99,0
2019-07-28,34.99,34.99,0
2019-07-29,34.99,34.99,0
2019-07-30,34.99,34.99,0
2019-07-31,34.99,34.99,0
2019-08-01,34.99,34.99,0
2019-08-02,34.99,34.99,0
2019-08-03,34.99,34.99,0
2019-08-04,34.99,34.99,0
2019-08-05,34.99,34.99,0
2019-08-06,34.99,34.99,0
2019-08-07,34.99,34.99,0
2019-08-08,34.99,34.99,0
2019-08-09,34.99,34.99,0
2019-08-10,34.99,34.99,0
2019-08-11,34.99,34.99,0
2019-08-12,34.99,34.99,0
2019-08-13,34.99,34.99,0
2019-08-14,34.99,34.99,0
2019-08-15,34.99,34.99,0
2019-08-16,34.99,34.99,0
2019-08-17,34.99,34.99,0
2019-08-18,34.99,34.99,0
2019-08-19,34.99,34.99,0
2019-08-20,34.99,34.99,0
2019-08-21,34.99,34.99,0
2019-08-22,34.99,34.99,0
2019-08-23,34.99,34.99,0
2019-08-24,34.99,34.99,0
2019-08-25,34.99,34.99,0
2019-08-26,34.99,34.99,0
2019-08-27,34.99,34.99,0
2019-08-28,34.99,34.99,0
2019-08-29,34.99,34.99,0
2019-08-30,34.99,34.99,0
2019-08-31,34.99,34.99,0
2019-09-01,34.99,34.99,0
2019-09-02,34.99,34.99,0
2019-09-03,34.99,34.99,0
2019-09-04,34.99,34.99,0
2019-09-05,34.99,34.99,0
2019-09-06,34.99,34.99,0
2019-09-07,34.99,34.99,0
2019-09-08,34.99,34.99,0
2019-09-09,34.99,8.74,75
2019-09-10,34.99,8.74,75
2019-09-11,34.99,8.74,75
2019-09-12,34.99,8.74,75
2019-09-13,34.99,8.74,75
2019-09-14,34.99,8.74,75
2019-09-15,34.99,8.74,75
2019-09-16,34.99,34.99,0
2019-09-17,34.99,34.99,0
2019-09-18,34.99,34.99,0
2019-09-19,34.99,34.99,0
2019-09-20,34.99,34.99,0
2019-09-21,34.99,34.99,0
2019-09-22,34.99,34.99,0
2019-09-23,34.99,34.99,0
2019-09-24,34.99,34.99,0
2019-09-25,34.99,34.99,0
2019-09-26,34.99,34.99,0
2019-09-27,34.99,34.99,0
2019-09-28,34.99,34.99,0
2019-09-29,34.99,34.99,0
2019-09-30,34.99,34.99,0
2019-10-01,34.99,34.99,0
2019-10-02,34.99,34.99,0
2019-10-03,34.99,34.99,0
2019-10-04,34.99,34.99,0
2019-10-05,34.99,34.99,0
2019-10-06,34.99,34.99,0
2019-10-07,34.99,34.99,0
2019-10-08,34.99,34.99,0
2019-10-09,34.99,34.99,0
2019-10-10,34.99,34.99,0
2019-10-11,34.99,34.99,0
2019-10-12,34.99,34.99,0
2019-10-13,34.99,34.99,0
2019-10-14,34.99,34.99,0
2019-10-15,34.99,34.99,0
2019-10-16,34.99,34.99,0
2019-10-17,34.99,34.99,0
2019-10-18,34.99,34.99,0
2019-10-19,34.99,34.99,0
2019-10-20,34.99,34.99,0
2019-10-21,34.99,34.99,0
2019-10-22,34.99,34.99,0
2019-10-23,34.99,34.99,0
2019-10-24,34.99,34.99,0
2019-10-25,34.99,34.99,0
2019-10-26,34.99,34.99,0
2019-10-27,34.99,34.99,0
2019-10-28,34.99,34.99,0
2019-10-29,34.99,34.99,0
2019-10-30,34.99,34.99,0
2019-10-31,34.99,34.99,0
2019-11-01,34.99,34.99,0
2019-11-02,34.99,34.99,0
2019-11-03,34.99,34.99,0
2019-11-04,34.99,34.99,0
2019-11-05,34.99,7,80
2019-11-06,34.99,7,80
2019-11-07,34.99,7,80
2019-11-08,34.99,34.99,0
2019-11-09,34.99,34.99,0
2019-11-10,34.99,6.99,80
2019-11-11,34.99,6.99,80
2019-11-12,34.99,34.99,0
2019-11-13,34.99,34.99,0
2019-11-14,34.99,34.99,0
2019-11-15,34.99,34.99,0
2019-11-16,34.99,34.99,0
2019-11-17,34.99,34.99,0
2019-11-18,34.99,34.99,0
2019-11-19,34.99,34.99,0
2019-11-20,34.99,34.99,0
2019-11-21,34.99,34.99,0
2019-11-22,34.99,34.99,0
2019-11-23,34.99,34.99,0
2019-11-24,34.99,34.99,0
2019-11-25,34.99,34.99,0
2019-11-26,34.99,6.99,80
2019-11-28,34.99,6.99,80
2019-11-29,34.99,6.99,80
2019-11-30,34.99,6.99,80
2019-12-01,34.99,6.99,80
2019-12-02,34.99,6.99,80
2019-12-03,34.99,34.99,0
2019-12-04,34.99,34.99,0
2019-12-05,34.99,34.99,0
2019-12-06,34.99,34.99,0
2019-12-07,34.99,34.99,0
2019-12-08,34.99,34.99,0
2019-12-09,34.99,34.99,0
2019-12-10,34.99,34.99,0
2019-12-11,34.99,34.99,0
2019-12-12,34.99,34.99,0
2019-12-13,34.99,34.99,0
2019-12-14,34.99,34.99,0
2019-12-15,34.99,34.99,0
2019-12-16,34.99,34.99,0
2019-12-17,34.99,34.99,0
2019-12-18,34.99,34.99,0
2019-12-19,34.99,6.99,80
2019-12-20,34.99,6.99,80
2019-12-21,34.99,6.99,80
2019-12-22,34.99,6.99,80
2019-12-23,34.99,6.99,80
2019-12-24,34.99,6.99,80
2019-12-25,34.99,6.99,80
2019-12-26,34.99,6.99,80
2019-12-27,34.99,6.99,80
2019-12-28,34.99,6.99,80
2019-12-29,34.99,6.99,80
2019-12-30,34.99,6.99,80
2019-12-31,34.99,6.99,80
2020-01-01,34.99,6.99,80
2020-01-02,34.99,34.99,0
2020-01-03,34.99,34.99,0
2020-01-04,34.99,34.99,0
2020-01-05,34.99,34.99,0
2020-01-06,34.99,34.99,0
2020-01-07,34.99,34.99,0
2020-01-08,34.99,34.99,0
2020-01-09,34.99,34.99,0
2020-01-10,34.99,34.99,0
2020-01-11,34.99,34.99,0
2020-01-12,34.99,34.99,0
2020-01-13,34.99,34.99,0
2020-01-14,34.99,34.99,0
2020-01-15,34.99,34.99,0
2020-01-16,34.99,34.99,0
2020-01-17,34.99,34.99,0
2020-01-18,34.99,34.99,0
2020-01-19,34.99,34.99,0
2020-01-20,34.99,34.99,0
2020-01-21,34.99,34.99,0
2020-01-22,34.99,34.99,0
2020-01-23,34.99,8.74,75
2020-01-24,34.99,8.74,75
2020-01-25,34.99,8.74,75
2020-01-26,34.99,8.74,75
2020-01-27,34.99,34.99,0
2020-01-28,34.99,34.99,0
2020-01-29,34.99,34.99,0
2020-01-30,34.99,34.99,0
2020-01-31,34.99,34.99,0
2020-02-01,34.99,34.99,0
2020-02-02,34.99,34.99,0
2020-02-03,34.99,34.99,0
2020-02-04,34.99,34.99,0
2020-02-05,34.99,34.99,0
2020-02-06,34.99,34.99,0
2020-02-07,34.99,34.99,0
2020-02-08,34.99,34.99,0
2020-02-09,34.99,34.99,0
2020-02-10,34.99,34.99,0
2020-02-11,34.99,34.99,0
2020-02-12,34.99,34.99,0
2020-02-13,34.99,34.99,0
2020-02-14,34.99,34.99,0
2020-02-15,34.99,34.99,0
2020-02-16,34.99,34.99,0
2020-02-17,34.99,34.99,0
2020-02-18,34.99,34.99,0
2020-02-19,34.99,34.99,0
2020-02-20,34.99,34.99,0
2020-02-21,34.99,34.99,0
2020-02-22,34.99,34.99,0
2020-02-23,34.99,34.99,0
2020-02-24,34.99,34.99,0
2020-02-25,34.99,34.99,0
2020-02-26,34.99,34.99,0
2020-02-27,34.99,34.99,0
2020-02-28,34.99,34.99,0
2020-02-29,34.99,34.99,0
2020-03-01,34.99,34.99,0
