Date,Initialprice,Finalprice,Discount
2019-04-07,199,199,0
2019-04-08,199,199,0
2019-04-09,199,199,0
2019-04-10,199,199,0
2019-04-11,199,199,0
2019-04-12,199,199,0
2019-04-13,199,199,0
2019-04-14,199,199,0
2019-04-15,199,199,0
2019-04-16,199,199,0
2019-04-17,199,199,0
2019-04-18,199,199,0
2019-04-19,199,199,0
2019-04-20,199,199,0
2019-04-21,199,199,0
2019-04-22,199,199,0
2019-04-23,199,199,0
2019-04-24,199,199,0
2019-04-25,199,199,0
2019-04-26,199,199,0
2019-04-27,199,199,0
2019-04-28,199,199,0
2019-04-29,199,199,0
2019-04-30,199,199,0
2019-05-01,199,199,0
2019-05-02,199,199,0
2019-05-03,199,199,0
2019-05-04,199,199,0
2019-05-05,199,199,0
2019-05-06,199,199,0
2019-05-07,199,199,0
2019-05-08,199,199,0
2019-05-09,199,199,0
2019-05-10,199,199,0
2019-05-11,199,199,0
2019-05-12,199,199,0
2019-05-13,199,199,0
2019-05-14,199,199,0
2019-05-15,199,199,0
2019-05-16,199,199,0
2019-05-17,199,199,0
2019-05-18,199,199,0
2019-05-19,199,199,0
2019-05-20,199,199,0
2019-05-21,199,199,0
2019-05-22,199,199,0
2019-05-23,199,199,0
2019-05-24,199,69.65000000000001,65
2019-05-25,199,69.65000000000001,65
2019-05-26,199,69.65000000000001,65
2019-05-27,199,69.65000000000001,65
2019-05-28,199,69.65000000000001,65
2019-05-29,199,69.65000000000001,65
2019-05-30,199,69.65000000000001,65
2019-05-31,199,69.65000000000001,65
2019-06-01,199,69.65000000000001,65
2019-06-02,199,69.65000000000001,65
2019-06-03,199,69.65000000000001,65
2019-06-04,199,69.65000000000001,65
2019-06-05,199,69.65000000000001,65
2019-06-06,199,69.65000000000001,65
2019-06-07,199,199,0
2019-06-08,199,199,0
2019-06-09,199,199,0
2019-06-10,199,199,0
2019-06-11,199,199,0
2019-06-12,199,199,0
2019-06-13,199,199,0
2019-06-14,199,199,0
2019-06-15,199,199,0
2019-06-16,199,199,0
2019-06-17,199,199,0
2019-06-18,199,199,0
2019-06-19,199,199,0
2019-06-20,199,199,0
2019-06-21,199,199,0
2019-06-22,199,199,0
2019-06-23,199,199,0
2019-06-24,199,199,0
2019-06-25,199,199,0
2019-06-26,199,199,0
2019-06-27,199,199,0
2019-06-28,199,199,0
2019-06-29,199,199,0
2019-06-30,199,199,0
2019-07-01,199,199,0
2019-07-02,199,199,0
2019-07-03,199,199,0
2019-07-04,199,199,0
2019-07-05,199,199,0
2019-07-06,199,199,0
2019-07-07,199,199,0
2019-07-08,199,199,0
2019-07-09,199,199,0
