Date,Initialprice,Finalprice,Discount
2019-04-07,1.99,1.99,0
2019-04-08,1.99,1.99,0
2019-04-09,1.99,1.99,0
2019-04-10,1.99,1.99,0
2019-04-11,1.99,1.99,0
2019-04-12,1.99,1.99,0
2019-04-13,1.99,1.99,0
2019-04-14,1.99,1.99,0
2019-04-15,1.99,1.99,0
2019-04-16,1.99,1.99,0
2019-04-17,1.99,1.99,0
2019-04-18,1.99,1.99,0
2019-04-19,1.99,1.99,0
2019-04-20,1.99,1.99,0
2019-04-21,1.99,1.99,0
2019-04-22,1.99,1.99,0
2019-04-23,1.99,1.99,0
2019-04-24,1.99,1.99,0
2019-04-25,1.99,1.99,0
2019-04-26,1.99,1.99,0
2019-04-27,1.99,1.99,0
2019-04-28,1.99,1.99,0
2019-04-29,1.99,0.49,75
2019-04-30,1.99,0.49,75
2019-05-01,1.99,0.49,75
2019-05-02,1.99,0.49,75
2019-05-03,1.99,0.49,75
2019-05-04,1.99,0.49,75
2019-05-05,1.99,0.49,75
2019-05-06,1.99,1.99,0
2019-05-07,1.99,1.99,0
2019-05-08,1.99,1.99,0
2019-05-09,1.99,1.99,0
2019-05-10,1.99,1.99,0
2019-05-11,1.99,1.99,0
2019-05-12,1.99,1.99,0
2019-05-13,1.99,1.99,0
2019-05-14,1.99,1.99,0
2019-05-15,1.99,1.99,0
2019-05-16,1.99,1.99,0
2019-05-17,1.99,1.99,0
2019-05-18,1.99,1.99,0
2019-05-19,1.99,1.99,0
2019-05-20,1.99,1.99,0
2019-05-21,1.99,1.99,0
2019-05-22,1.99,1.99,0
2019-05-23,1.99,1.99,0
2019-05-24,1.99,1.99,0
2019-05-25,1.99,1.99,0
2019-05-26,1.99,1.99,0
2019-05-27,1.99,1.99,0
2019-05-28,1.99,1.99,0
2019-05-29,1.99,1.99,0
2019-05-30,1.99,1.99,0
2019-05-31,1.99,1.99,0
2019-06-01,1.99,1.99,0
2019-06-02,1.99,1.99,0
2019-06-03,1.99,1.99,0
2019-06-04,1.99,1.99,0
2019-06-05,1.99,1.99,0
2019-06-06,1.99,1.99,0
2019-06-07,1.99,1.99,0
2019-06-08,1.99,1.99,0
2019-06-09,1.99,1.99,0
2019-06-10,1.99,1.99,0
2019-06-11,1.99,1.99,0
2019-06-12,1.99,1.99,0
2019-06-13,1.99,1.99,0
2019-06-14,1.99,1.99,0
2019-06-15,1.99,1.99,0
2019-06-16,1.99,1.99,0
2019-06-17,1.99,0.49,75
2019-06-18,1.99,0.49,75
2019-06-19,1.99,0.49,75
2019-06-20,1.99,0.49,75
2019-06-21,1.99,0.49,75
2019-06-22,1.99,0.49,75
