Date,Initialprice,Finalprice,Discount
2019-04-07,5.99,5.99,0
2019-04-08,5.99,5.99,0
2019-04-09,5.99,5.99,0
2019-04-10,5.99,5.99,0
2019-04-11,5.99,5.99,0
2019-04-12,5.99,5.99,0
2019-04-13,5.99,5.99,0
2019-04-14,5.99,5.99,0
2019-04-15,5.99,5.99,0
2019-04-16,5.99,5.99,0
2019-04-17,5.99,5.99,0
2019-04-18,5.99,5.99,0
2019-04-19,5.99,5.99,0
2019-04-20,5.99,5.99,0
2019-04-21,5.99,5.99,0
2019-04-22,5.99,5.99,0
2019-04-23,5.99,5.99,0
2019-04-24,5.99,5.99,0
2019-04-25,5.99,5.99,0
2019-04-26,5.99,5.99,0
2019-04-27,5.99,5.99,0
2019-04-28,5.99,5.99,0
2019-04-29,5.99,3.89,35
2019-04-30,5.99,3.89,35
2019-05-01,5.99,3.89,35
2019-05-02,5.99,3.89,35
2019-05-03,5.99,3.89,35
2019-05-04,5.99,3.89,35
2019-05-05,5.99,3.89,35
2019-05-06,5.99,5.99,0
2019-05-07,5.99,5.99,0
2019-05-08,5.99,5.99,0
2019-05-09,5.99,5.99,0
2019-05-10,5.99,5.99,0
2019-05-11,5.99,5.99,0
2019-05-12,5.99,5.99,0
2019-05-13,5.99,5.99,0
2019-05-14,5.99,5.99,0
2019-05-15,5.99,5.99,0
2019-05-16,5.99,5.99,0
2019-05-17,5.99,5.99,0
2019-05-18,5.99,5.99,0
2019-05-19,5.99,5.99,0
2019-05-20,5.99,5.99,0
2019-05-21,5.99,5.99,0
2019-05-22,5.99,5.99,0
2019-05-23,5.99,5.99,0
2019-05-24,5.99,5.99,0
2019-05-25,5.99,5.99,0
2019-05-26,5.99,5.99,0
2019-05-27,5.99,5.99,0
2019-05-28,5.99,5.99,0
2019-05-29,5.99,5.99,0
2019-05-30,5.99,5.99,0
2019-05-31,5.99,5.99,0
2019-06-02,5.99,5.99,0
2019-06-03,5.99,5.99,0
2019-06-04,5.99,5.99,0
2019-06-05,5.99,5.99,0
2019-06-06,5.99,5.99,0
