Date,Initialprice,Finalprice,Discount
2019-04-07,4.99,4.99,0
2019-04-08,4.99,4.99,0
2019-04-09,4.99,4.99,0
2019-04-10,4.99,4.99,0
2019-04-11,4.99,4.99,0
2019-04-12,4.99,4.99,0
2019-04-13,4.99,4.99,0
2019-04-14,4.99,4.99,0
2019-04-15,4.99,4.99,0
2019-04-16,4.99,4.99,0
2019-04-17,4.99,4.99,0
2019-04-18,4.99,4.99,0
2019-04-19,4.99,4.99,0
2019-04-20,4.99,4.99,0
2019-04-21,4.99,4.99,0
2019-04-22,4.99,0.99,80
2019-04-23,4.99,0.99,80
2019-04-24,4.99,0.99,80
2019-04-25,4.99,0.99,80
2019-04-26,4.99,0.99,80
2019-04-27,4.99,0.99,80
2019-04-28,4.99,0.99,80
2019-04-29,4.99,4.99,0
2019-04-30,4.99,4.99,0
2019-05-01,4.99,4.99,0
2019-05-02,4.99,4.99,0
2019-05-03,4.99,4.99,0
2019-05-04,4.99,4.99,0
2019-05-05,4.99,4.99,0
2019-05-06,4.99,4.99,0
2019-05-07,4.99,4.99,0
2019-05-08,4.99,4.99,0
2019-05-09,4.99,4.99,0
2019-05-10,4.99,4.99,0
2019-05-11,4.99,4.99,0
2019-05-12,4.99,4.99,0
2019-05-13,4.99,4.99,0
2019-05-14,4.99,4.99,0
2019-05-15,4.99,4.99,0
2019-05-16,4.99,4.99,0
2019-05-17,4.99,4.99,0
2019-05-18,4.99,4.99,0
2019-05-19,4.99,4.99,0
2019-05-20,4.99,4.99,0
2019-05-21,4.99,4.99,0
2019-05-22,4.99,4.99,0
2019-05-23,4.99,4.99,0
2019-05-24,4.99,4.99,0
2019-05-25,4.99,4.99,0
2019-05-26,4.99,4.99,0
2019-05-27,4.99,4.99,0
2019-05-28,4.99,4.99,0
2019-05-29,4.99,4.99,0
2019-05-30,4.99,4.99,0
2019-05-31,4.99,4.99,0
2019-06-01,4.99,4.99,0
2019-06-02,4.99,4.99,0
2019-06-03,4.99,4.99,0
2019-06-04,4.99,4.99,0
2019-06-05,4.99,4.99,0
2019-06-06,4.99,4.99,0
