Date,Initialprice,Finalprice,Discount
2019-04-07,8.99,8.99,0
2019-04-08,8.99,8.99,0
2019-04-09,8.99,8.99,0
2019-04-10,8.99,8.99,0
2019-04-11,8.99,1.79,80
2019-04-12,8.99,1.79,80
2019-04-13,8.99,1.79,80
2019-04-14,8.99,1.79,80
2019-04-15,8.99,1.79,80
2019-04-16,8.99,1.79,80
2019-04-17,8.99,1.79,80
2019-04-18,8.99,1.79,80
2019-04-19,8.99,1.79,80
2019-04-20,8.99,1.79,80
2019-04-21,8.99,1.79,80
2019-04-22,8.99,1.79,80
2019-04-23,8.99,1.79,80
2019-04-24,8.99,1.79,80
2019-04-25,8.99,8.99,0
2019-04-26,8.99,8.99,0
2019-04-27,8.99,8.99,0
2019-04-28,8.99,8.99,0
2019-04-29,8.99,8.99,0
2019-04-30,8.99,8.99,0
2019-05-01,8.99,8.99,0
2019-05-02,8.99,8.99,0
2019-05-03,8.99,8.99,0
2019-05-04,8.99,8.99,0
2019-05-05,8.99,8.99,0
2019-05-06,8.99,8.99,0
2019-05-07,8.99,8.99,0
2019-05-08,8.99,8.99,0
2019-05-09,8.99,8.99,0
2019-05-10,8.99,8.99,0
2019-05-11,8.99,8.99,0
2019-05-12,8.99,8.99,0
2019-05-13,8.99,8.99,0
2019-05-14,8.99,8.99,0
2019-05-15,8.99,8.99,0
2019-05-16,8.99,1.79,80
2019-05-17,8.99,1.79,80
2019-05-18,8.99,1.79,80
2019-05-19,8.99,1.79,80
2019-05-20,8.99,8.99,0
2019-05-21,8.99,8.99,0
2019-05-22,8.99,8.99,0
2019-05-23,8.99,8.99,0
2019-05-24,8.99,8.99,0
2019-05-25,8.99,8.99,0
2019-05-26,8.99,8.99,0
2019-05-27,8.99,8.99,0
2019-05-28,8.99,8.99,0
2019-05-29,8.99,8.99,0
2019-05-30,8.99,8.99,0
2019-05-31,8.99,8.99,0
2019-06-01,8.99,8.99,0
2019-06-02,8.99,8.99,0
2019-06-03,8.99,8.99,0
2019-06-04,8.99,8.99,0
2019-06-05,8.99,8.99,0
2019-06-06,8.99,8.99,0
2019-06-07,8.99,8.99,0
2019-06-08,8.99,8.99,0
2019-06-09,8.99,8.99,0
2019-06-10,8.99,8.99,0
2019-06-11,8.99,8.99,0
2019-06-12,8.99,8.99,0
2019-06-13,8.99,8.99,0
2019-06-14,8.99,8.99,0
2019-06-15,8.99,8.99,0
2019-06-16,8.99,8.99,0
2019-06-17,8.99,8.99,0
2019-06-18,8.99,8.99,0
2019-06-19,8.99,8.99,0
2019-06-20,8.99,8.99,0
2019-06-21,8.99,8.99,0
2019-06-22,8.99,8.99,0
2019-06-23,8.99,8.99,0
2019-06-24,8.99,8.99,0
2019-06-25,8.99,1.79,80
2019-06-26,8.99,1.79,80
2019-06-27,8.99,1.79,80
2019-06-28,8.99,1.79,80
2019-06-29,8.99,1.79,80
2019-06-30,8.99,1.79,80
2019-07-01,8.99,1.79,80
2019-07-02,8.99,1.79,80
2019-07-03,8.99,1.79,80
2019-07-04,8.99,1.79,80
2019-07-05,8.99,1.79,80
2019-07-06,8.99,1.79,80
2019-07-07,8.99,1.79,80
2019-07-08,8.99,1.79,80
2019-07-09,8.99,8.99,0
2019-07-10,8.99,8.99,0
2019-07-11,8.99,8.99,0
2019-07-12,8.99,8.99,0
2019-07-13,8.99,8.99,0
2019-07-14,8.99,8.99,0
2019-07-15,8.99,8.99,0
2019-07-16,8.99,8.99,0
2019-07-17,8.99,8.99,0
2019-07-18,8.99,8.99,0
2019-07-19,8.99,8.99,0
2019-07-20,8.99,8.99,0
2019-07-21,8.99,8.99,0
2019-07-22,8.99,8.99,0
2019-07-23,8.99,8.99,0
2019-07-24,8.99,8.99,0
2019-07-25,8.99,8.99,0
2019-07-26,8.99,8.99,0
2019-07-27,8.99,8.99,0
2019-07-28,8.99,8.99,0
2019-07-29,8.99,8.99,0
2019-07-30,8.99,8.99,0
2019-07-31,8.99,8.99,0
2019-08-01,8.99,8.99,0
2019-08-02,8.99,8.99,0
2019-08-03,8.99,8.99,0
2019-08-04,8.99,8.99,0
2019-08-05,8.99,8.99,0
2019-08-06,8.99,8.99,0
2019-08-07,8.99,8.99,0
2019-08-08,8.99,8.99,0
2019-08-09,8.99,8.99,0
2019-08-10,8.99,8.99,0
2019-08-11,8.99,8.99,0
2019-08-12,8.99,8.99,0
2019-08-13,8.99,8.99,0
2019-08-14,8.99,8.99,0
2019-08-15,8.99,8.99,0
2019-08-16,8.99,8.99,0
2019-08-17,8.99,8.99,0
2019-08-18,8.99,8.99,0
2019-08-19,8.99,8.99,0
2019-08-20,8.99,8.99,0
2019-08-21,8.99,8.99,0
2019-08-22,8.99,8.99,0
2019-08-23,8.99,8.99,0
2019-08-24,8.99,8.99,0
2019-08-25,8.99,8.99,0
2019-08-26,8.99,8.99,0
2019-08-27,8.99,8.99,0
2019-08-28,8.99,8.99,0
2019-08-29,8.99,8.99,0
2019-08-30,8.99,8.99,0
2019-08-31,8.99,8.99,0
2019-09-01,8.99,8.99,0
2019-09-02,8.99,8.99,0
2019-09-03,8.99,8.99,0
2019-09-04,8.99,8.99,0
2019-09-05,8.99,8.99,0
2019-09-06,8.99,8.99,0
2019-09-07,8.99,8.99,0
2019-09-08,8.99,8.99,0
2019-09-09,8.99,8.99,0
2019-09-10,8.99,8.99,0
2019-09-11,8.99,8.99,0
2019-09-12,8.99,8.99,0
2019-09-13,8.99,8.99,0
2019-09-14,8.99,8.99,0
2019-09-15,8.99,8.99,0
2019-09-16,8.99,8.99,0
2019-09-17,8.99,8.99,0
2019-09-18,8.99,8.99,0
2019-09-19,8.99,8.99,0
2019-09-20,8.99,8.99,0
2019-09-21,8.99,8.99,0
2019-09-22,8.99,8.99,0
2019-09-23,8.99,8.99,0
2019-09-24,8.99,8.99,0
2019-09-25,8.99,8.99,0
2019-09-26,8.99,2.24,75
2019-09-27,8.99,2.24,75
2019-09-28,8.99,2.24,75
2019-09-29,8.99,2.24,75
2019-09-30,8.99,2.24,75
2019-10-01,8.99,2.24,75
2019-10-02,8.99,2.24,75
2019-10-03,8.99,8.99,0
2019-10-04,8.99,8.99,0
2019-10-05,8.99,8.99,0
2019-10-06,8.99,8.99,0
2019-10-07,8.99,8.99,0
2019-10-08,8.99,8.99,0
2019-10-09,8.99,8.99,0
2019-10-10,8.99,8.99,0
2019-10-11,8.99,8.99,0
2019-10-12,8.99,8.99,0
2019-10-13,8.99,8.99,0
2019-10-14,8.99,8.99,0
2019-10-15,8.99,8.99,0
2019-10-16,8.99,8.99,0
2019-10-17,8.99,8.99,0
2019-10-18,8.99,8.99,0
2019-10-19,8.99,8.99,0
2019-10-20,8.99,8.99,0
2019-10-21,8.99,8.99,0
2019-10-22,8.99,8.99,0
2019-10-23,8.99,8.99,0
2019-10-24,8.99,8.99,0
2019-10-25,8.99,8.99,0
2019-10-26,8.99,8.99,0
2019-10-27,8.99,8.99,0
2019-10-28,8.99,2.24,75
2019-10-29,8.99,2.24,75
2019-10-30,8.99,2.24,75
2019-10-31,8.99,2.24,75
2019-11-01,8.99,8.99,0
2019-11-02,8.99,8.99,0
2019-11-03,8.99,8.99,0
2019-11-04,8.99,8.99,0
2019-11-05,8.99,8.99,0
2019-11-06,8.99,8.99,0
