Date,Initialprice,Finalprice,Discount
2019-04-07,23.99,23.99,0
2019-04-08,23.99,23.99,0
2019-04-09,23.99,23.99,0
2019-04-10,23.99,23.99,0
2019-04-11,23.99,23.99,0
2019-04-12,23.99,23.99,0
2019-04-13,23.99,23.99,0
2019-04-14,23.99,23.99,0
2019-04-15,23.99,23.99,0
2019-04-16,23.99,23.99,0
2019-04-17,23.99,23.99,0
2019-04-18,23.99,23.99,0
2019-04-19,23.99,23.99,0
2019-04-20,23.99,23.99,0
2019-04-21,23.99,23.99,0
2019-04-22,23.99,23.99,0
2019-04-23,23.99,23.99,0
2019-04-24,23.99,23.99,0
2019-04-25,23.99,23.99,0
2019-04-26,23.99,23.99,0
2019-04-27,23.99,23.99,0
2019-04-28,23.99,23.99,0
2019-04-29,23.99,23.99,0
2019-04-30,23.99,23.99,0
2019-05-01,23.99,23.99,0
2019-05-02,23.99,23.99,0
2019-05-03,23.99,23.99,0
2019-05-04,23.99,23.99,0
2019-05-05,23.99,23.99,0
2019-05-06,23.99,23.99,0
2019-05-07,23.99,23.99,0
2019-05-08,23.99,23.99,0
2019-05-09,23.99,23.99,0
2019-05-10,23.99,23.99,0
2019-05-11,23.99,23.99,0
2019-05-12,23.99,23.99,0
2019-05-13,23.99,23.99,0
2019-05-14,23.99,23.99,0
2019-05-15,23.99,23.99,0
2019-05-16,23.99,23.99,0
2019-05-17,23.99,23.99,0
2019-05-18,23.99,23.99,0
2019-05-19,23.99,23.99,0
2019-05-20,23.99,23.99,0
2019-05-21,23.99,23.99,0
2019-05-22,23.99,23.99,0
2019-05-23,23.99,23.99,0
2019-05-24,23.99,23.99,0
2019-05-25,23.99,23.99,0
2019-05-26,23.99,23.99,0
2019-05-27,23.99,23.99,0
2019-05-28,23.99,23.99,0
2019-05-29,23.99,23.99,0
2019-05-30,23.99,23.99,0
2019-05-31,23.99,23.99,0
2019-06-01,23.99,23.99,0
2019-06-02,23.99,23.99,0
2019-06-03,23.99,23.99,0
2019-06-04,23.99,23.99,0
2019-06-05,23.99,23.99,0
2019-06-06,23.99,23.99,0
2019-06-07,23.99,23.99,0
2019-06-08,23.99,23.99,0
2019-06-09,23.99,23.99,0
2019-06-10,23.99,23.99,0
2019-06-11,23.99,23.99,0
2019-06-12,23.99,23.99,0
2019-06-13,23.99,23.99,0
2019-06-14,23.99,23.99,0
2019-06-15,23.99,23.99,0
2019-06-16,23.99,23.99,0
2019-06-17,23.99,23.99,0
2019-06-18,23.99,23.99,0
2019-06-19,23.99,23.99,0
2019-06-20,23.99,23.99,0
2019-06-21,23.99,23.99,0
2019-06-22,23.99,23.99,0
2019-06-23,23.99,23.99,0
2019-06-24,23.99,23.99,0
