Date,Initialprice,Finalprice,Discount
2019-04-07,3.99,3.99,0
2019-04-08,3.99,3.99,0
2019-04-09,3.99,3.99,0
2019-04-10,3.99,3.99,0
2019-04-11,3.99,3.99,0
2019-04-12,3.99,3.99,0
2019-04-13,3.99,3.99,0
2019-04-14,3.99,3.99,0
2019-04-15,3.99,0.51,87
2019-04-16,3.99,0.51,87
2019-04-17,3.99,0.51,87
2019-04-18,3.99,0.51,87
2019-04-19,3.99,0.51,87
2019-04-20,3.99,0.51,87
2019-04-21,3.99,0.51,87
2019-04-22,3.99,3.99,0
2019-04-23,3.99,3.99,0
2019-04-24,3.99,3.99,0
2019-04-25,3.99,3.99,0
2019-04-26,3.99,3.99,0
2019-04-27,3.99,3.99,0
2019-04-28,3.99,3.99,0
2019-04-29,3.99,3.99,0
2019-04-30,3.99,3.99,0
2019-05-01,3.99,3.99,0
2019-05-02,3.99,3.99,0
2019-05-03,3.99,3.99,0
2019-05-04,3.99,3.99,0
2019-05-05,3.99,3.99,0
2019-05-06,3.99,3.99,0
2019-05-07,3.99,3.99,0
2019-05-08,3.99,3.99,0
2019-05-09,3.99,3.99,0
2019-05-10,3.99,3.99,0
2019-05-11,3.99,3.99,0
2019-05-12,3.99,3.99,0
2019-05-13,3.99,3.99,0
2019-05-14,3.99,3.99,0
2019-05-15,3.99,3.99,0
2019-05-16,3.99,0.51,87
2019-05-17,3.99,0.51,87
2019-05-18,3.99,0.51,87
2019-05-19,3.99,0.51,87
2019-05-20,3.99,3.99,0
2019-05-21,3.99,3.99,0
2019-05-22,3.99,3.99,0
2019-05-23,3.99,3.99,0
2019-05-24,3.99,3.99,0
2019-05-25,3.99,3.99,0
2019-05-26,3.99,3.99,0
2019-05-27,3.99,3.99,0
2019-05-28,3.99,3.99,0
2019-05-29,3.99,3.99,0
2019-05-30,3.99,3.99,0
2019-05-31,3.99,3.99,0
2019-06-01,3.99,3.99,0
2019-06-02,3.99,3.99,0
2019-06-03,3.99,0.51,87
2019-06-04,3.99,0.51,87
2019-06-05,3.99,0.51,87
2019-06-06,3.99,0.51,87
2019-06-07,3.99,0.51,87
2019-06-08,3.99,0.51,87
2019-06-09,3.99,0.51,87
2019-06-10,3.99,3.99,0
2019-06-11,3.99,3.99,0
2019-06-12,3.99,3.99,0
2019-06-13,3.99,3.99,0
2019-06-14,3.99,3.99,0
2019-06-15,3.99,3.99,0
2019-06-16,3.99,3.99,0
2019-06-17,3.99,3.99,0
2019-06-18,3.99,3.99,0
2019-06-19,3.99,3.99,0
2019-06-20,3.99,3.99,0
2019-06-21,3.99,3.99,0
2019-06-22,3.99,3.99,0
2019-06-23,3.99,3.99,0
2019-06-24,3.99,3.99,0
2019-06-25,3.99,0.51,87
2019-06-26,3.99,0.51,87
2019-06-27,3.99,0.51,87
2019-06-28,3.99,0.51,87
2019-06-29,3.99,0.51,87
2019-06-30,3.99,0.51,87
2019-07-01,3.99,0.51,87
2019-07-02,3.99,0.51,87
2019-07-03,3.99,0.51,87
2019-07-04,3.99,0.51,87
2019-07-05,3.99,0.51,87
2019-07-06,3.99,0.51,87
2019-07-07,3.99,0.51,87
2019-07-08,3.99,0.51,87
2019-07-09,3.99,3.99,0
2019-07-10,3.99,3.99,0
2019-07-11,3.99,3.99,0
2019-07-12,3.99,3.99,0
2019-07-13,3.99,3.99,0
2019-07-14,3.99,3.99,0
2019-07-15,3.99,3.99,0
2019-07-16,3.99,3.99,0
2019-07-17,3.99,3.99,0
2019-07-18,3.99,3.99,0
2019-07-19,3.99,3.99,0
2019-07-20,3.99,3.99,0
2019-07-21,3.99,3.99,0
2019-07-22,3.99,0.51,87
2019-07-23,3.99,0.51,87
2019-07-24,3.99,0.51,87
2019-07-25,3.99,0.51,87
2019-07-26,3.99,0.51,87
2019-07-27,3.99,0.51,87
2019-07-28,3.99,0.51,87
2019-07-29,3.99,3.99,0
2019-07-30,3.99,3.99,0
2019-07-31,3.99,3.99,0
2019-08-01,3.99,0.51,87
2019-08-02,3.99,0.51,87
2019-08-03,3.99,0.51,87
2019-08-04,3.99,0.51,87
2019-08-05,3.99,3.99,0
2019-08-06,3.99,3.99,0
2019-08-07,3.99,3.99,0
2019-08-08,3.99,3.99,0
2019-08-09,3.99,3.99,0
2019-08-10,3.99,3.99,0
2019-08-11,3.99,3.99,0
2019-08-12,3.99,3.99,0
2019-08-13,3.99,3.99,0
2019-08-14,3.99,3.99,0
2019-08-15,3.99,3.99,0
2019-08-16,3.99,3.99,0
2019-08-17,3.99,3.99,0
2019-08-18,3.99,3.99,0
2019-08-19,3.99,3.99,0
2019-08-20,3.99,3.99,0
2019-08-21,3.99,3.99,0
2019-08-22,3.99,3.99,0
2019-08-23,3.99,3.99,0
2019-08-24,3.99,3.99,0
2019-08-25,3.99,3.99,0
2019-08-26,3.99,3.99,0
2019-08-27,3.99,3.99,0
2019-08-28,3.99,3.99,0
2019-08-29,3.99,3.99,0
2019-08-30,3.99,3.99,0
2019-08-31,3.99,3.99,0
2019-09-01,3.99,3.99,0
2019-09-02,3.99,3.99,0
2019-09-03,3.99,3.99,0
2019-09-04,3.99,3.99,0
2019-09-05,3.99,3.99,0
2019-09-06,3.99,3.99,0
2019-09-07,3.99,3.99,0
2019-09-08,3.99,3.99,0
2019-09-09,3.99,3.99,0
2019-09-10,3.99,3.99,0
2019-09-11,3.99,3.99,0
2019-09-12,3.99,3.99,0
2019-09-13,3.99,3.99,0
2019-09-14,3.99,3.99,0
2019-09-15,3.99,3.99,0
2019-09-16,3.99,0.51,87
2019-09-17,3.99,0.51,87
2019-09-18,3.99,0.51,87
2019-09-19,3.99,0.51,87
2019-09-20,3.99,0.51,87
2019-09-21,3.99,0.51,87
2019-09-22,3.99,0.51,87
2019-09-23,3.99,3.99,0
2019-09-24,3.99,3.99,0
2019-09-25,3.99,3.99,0
2019-09-26,3.99,3.99,0
2019-09-27,3.99,3.99,0
2019-09-28,3.99,3.99,0
2019-09-29,3.99,3.99,0
2019-09-30,3.99,3.99,0
2019-10-01,3.99,3.99,0
2019-10-02,3.99,3.99,0
2019-10-03,3.99,3.99,0
2019-10-04,3.99,3.99,0
2019-10-05,3.99,3.99,0
2019-10-06,3.99,3.99,0
2019-10-07,3.99,3.99,0
2019-10-08,3.99,3.99,0
2019-10-09,3.99,3.99,0
2019-10-10,3.99,3.99,0
2019-10-11,3.99,3.99,0
2019-10-12,3.99,3.99,0
2019-10-13,3.99,3.99,0
2019-10-14,3.99,3.99,0
2019-10-15,3.99,3.99,0
2019-10-16,3.99,3.99,0
2019-10-17,3.99,3.99,0
2019-10-18,3.99,3.99,0
2019-10-19,3.99,3.99,0
2019-10-20,3.99,3.99,0
2019-10-21,3.99,3.99,0
2019-10-22,3.99,3.99,0
2019-10-23,3.99,3.99,0
2019-10-24,3.99,3.99,0
2019-10-25,3.99,3.99,0
2019-10-26,3.99,3.99,0
2019-10-27,3.99,3.99,0
2019-10-28,3.99,0.51,87
2019-10-29,3.99,0.51,87
2019-10-30,3.99,0.51,87
2019-10-31,3.99,0.51,87
2019-11-01,3.99,3.99,0
2019-11-02,3.99,3.99,0
2019-11-03,3.99,3.99,0
2019-11-04,3.99,0.51,87
2019-11-05,3.99,0.51,87
2019-11-06,3.99,0.51,87
2019-11-07,3.99,0.51,87
2019-11-08,3.99,0.51,87
2019-11-09,3.99,0.51,87
2019-11-10,3.99,0.51,87
2019-11-11,3.99,3.99,0
2019-11-12,3.99,3.99,0
2019-11-13,3.99,3.99,0
2019-11-14,3.99,3.99,0
2019-11-15,3.99,3.99,0
2019-11-16,3.99,3.99,0
2019-11-17,3.99,3.99,0
2019-11-18,3.99,3.99,0
2019-11-19,3.99,3.99,0
2019-11-20,3.99,3.99,0
2019-11-21,3.99,3.99,0
2019-11-22,3.99,3.99,0
2019-11-23,3.99,3.99,0
2019-11-24,3.99,3.99,0
